Stability_time_total_exposure,Stability_relative_humidity_average_value,JV_reverse_scan_FF,JV_default_Jsc,Cell_area_measured,JV_reverse_scan_PCE,Stability_PCE_initial_value,JV_forward_scan_Voc,JV_average_over_n_number_of_cells,Stability_light_intensity,Perovskite_deposition_number_of_deposition_steps
341.50278,-5.236085,-36.16554,-37.96034,15.90941,33.17556,10.234619,-28.491852,7.1142282,58.95028,2.0766075
-285.23914,5.540285,-11.935123,16.675316,-8.061319,-10.1749525,1.3730297,-1.1756083,5.336074,7.0045643,-2.0715766
-307.94608,5.392824,2.8210435,-7.6830363,14.901535,31.745806,3.9319193,0.38653108,6.0728493,7.083137,1.3239872
-88.86397,-1.097819,-16.738064,-12.867286,-9.281424,-16.338037,-1.1993194,-5.676051,8.298552,-8.334745,0.12190221
-167.00658,5.298401,-48.268612,-9.808218,-7.6531973,-11.682112,-42.059204,-3.621386,1.4193648,1.3691695,0.35689116
-176.02791,-0.39721918,-13.05381,-15.471031,1.8033158,15.335852,3.262115,-10.189047,-16.131603,6.527929,1.0613008
434.47577,-5.56703,66.98818,-45.03063,1.0837947,49.770798,6.5947113,16.743526,7.239721,59.36968,1.1179973
-92.25492,-5.457326,-23.153112,1.0398054,-7.23325,11.565771,8.151591,-48.79346,6.4643507,-3.2155282,0.062283687
-296.30045,3.5143514,-7.144176,-5.855909,17.625248,10.680957,5.231301,-0.63404673,4.462203,6.838423,1.2432668
-214.76889,3.5052238,-4.840807,-11.999512,-2.2134385,-14.790001,-0.5970662,-0.5814525,7.333462,7.4940166,1.103926
-314.27774,-10.784796,2.9313712,5.4298544,-6.5563297,-23.52507,-14.36341,-2.6073978,5.3014736,3.518178,0.12999095
-68.49366,15.064556,15.081619,-7.8543186,-4.843445,-8.901459,-26.908684,-3.809167,-13.284524,5.295067,-4.582881
-272.50638,0.06558165,-5.6104703,-6.626268,2.054466,-12.159572,1.4835182,-0.0279397,7.3521705,6.399637,1.2582703
-308.06778,-6.362491,-0.23798686,8.615237,-6.7305784,-14.8052,2.5543425,-2.0940752,5.1135187,4.9330707,0.2810638
-214.75223,-0.31775728,-14.568967,-6.3363276,-5.7447066,-18.807165,1.8974931,6.9469833,5.34747,3.287835,0.0008740588
-233.04276,3.3778942,3.938193,4.4716396,17.359455,-20.454676,-19.288107,1.3692715,8.464766,5.3868713,-0.114399225
-78.259056,-4.491262,-30.340721,-3.2952986,-8.635422,32.377026,5.4609623,-21.36277,-10.451793,-15.3202305,-0.5709801
-283.06848,2.386131,0.86168796,9.9092455,8.05554,-18.280548,4.018184,6.785985,5.2866344,6.365507,0.8738428
-71.00062,5.7243824,-68.54976,-0.37685204,-12.226497,-36.363068,-17.573706,-7.319998,3.256063,4.5394406,0.79281026
-179.75378,-7.713324,-17.163223,-17.089382,-8.026385,-14.878795,-3.8709075,-24.31124,-30.159067,4.4287457,-0.42827222
706.2472,-46.5997,-82.26134,-57.372658,57.625645,-88.11023,1.8963805,-17.951212,4.2536364,-6.4838505,13.33185
244.21866,-7.677761,5.32295,-5.19005,-86.297745,44.563015,-5.1215434,-4.961379,-6.448893,-31.419403,-0.45298615
-328.241,-3.582929,-7.42935,-5.323066,-9.867628,-11.145784,-0.7862242,-1.1847672,8.798038,-9.719001,0.25911164
199.96562,-26.928177,-47.04391,-62.106483,-9.799489,-52.669945,31.520063,-9.008711,19.867167,1.8650827,0.53530174
218.73721,-18.630451,-44.359753,51.29411,24.298431,-27.73368,-7.5596046,0.08649135,4.420002,3.4785204,1.3647832
-327.5722,15.652366,-8.153605,-6.0667515,-3.1184545,-10.053645,-0.8801204,-0.62394613,7.695219,-13.71186,0.23289144
-66.65319,18.373693,5.3801317,-8.086991,-32.78492,39.8717,-43.28084,-0.72042096,5.2699757,-11.827734,3.281656
-264.73132,-34.91358,25.097078,8.6889515,21.030926,20.232952,0.36078948,3.7615833,-18.946114,1.2948139,-1.8747517
327.41354,6.828657,-37.399696,-16.544508,-8.639544,-45.753616,9.022583,-21.073706,9.720541,66.78578,1.8976253
-308.7486,-33.32094,84.70028,8.57542,-5.145546,27.55493,10.64982,-3.1766493,4.789819,2.7355266,-9.526403
62.451973,50.57286,-1.6948146,-21.868296,-36.632603,-11.162332,-9.637689,-3.0729308,5.86066,-10.775979,0.3085079
-214.36122,-12.637293,-34.99329,1.6455059,5.3593993,5.971798,1.1565995,-2.5964847,5.1543083,4.742537,0.5278143
-207.99721,-16.670008,-9.3252325,-10.054592,-7.3813405,-13.088913,-0.71466,-1.2377185,7.4354606,3.9194813,-0.30531436
-314.06592,6.740284,-15.130685,14.973089,-0.7701831,13.363844,5.399948,-1.0503374,7.883727,5.2040358,0.052879915
148.77724,-7.8388968,-21.327795,-41.20766,-13.88674,35.33125,-1.8435829,2.1961343,7.881947,-169.38515,1.042052
34.20402,10.589769,-9.705619,27.621782,-38.120335,26.29156,6.480029,-55.653866,7.0634623,5.0499916,3.5312696
-213.3042,-10.349922,-11.17724,-12.728765,-7.5706606,-3.106594,0.061292287,-31.775663,9.095942,-7.080606,-0.23850845
-228.72354,-8.172903,-2.3159509,-23.663363,-7.5876656,-15.360623,0.918131,-3.3705037,-12.375574,6.045519,0.035029087
-285.22195,-3.311659,-16.253113,7.506343,-31.249763,-6.812519,-2.1162384,-2.4996634,-5.916196,-9.498617,0.53184915
-167.83961,-5.328957,-32.068676,-12.464401,-3.456832,-9.684491,-7.847315,-22.308285,6.645019,3.4081094,1.6678652
134.10979,30.794039,-126.14166,-74.4482,-91.43927,-61.1816,-6.1049657,49.94548,4.2370043,-168.31363,1.1440487
17.176998,13.792564,-126.77062,22.934458,-14.3444605,-5.4528856,-38.943813,48.295574,-6.2801237,4.31733,-16.790522
-33.753063,-1.409888,-0.9477318,-15.254471,-8.691757,-22.179073,1.4203298,1.0909815,9.40581,18.623728,-0.34365705
1167.5009,-7.486442,36.97063,-64.09734,46.407818,-105.31265,31.869043,7.876103,213.6881,-5.885095,4.4185157
291.2234,40.196484,2.5991855,-12.594079,5.4282928,18.473711,2.8133986,-7.7415094,7.824892,11.396804,1.1365243
718.75055,-142.92784,-16.223873,-45.171715,70.73776,-47.183613,12.121032,4.0921173,-498.79852,5.808843,2.6596923
294.09335,-2.6794193,-3.3334277,13.827423,-10.131504,47.697353,11.143147,-1.6199529,-16.844454,42.749733,0.35487896
-39.101765,-6.961116,-87.6457,-6.8741293,-21.31648,-2.3419147,9.615427,-16.72115,-3.8569221,4.407806,1.9858724
332.33936,49.922108,-27.136747,-16.997896,-14.647947,-22.871273,-35.523792,-37.0109,10.908799,54.08867,1.7936739
-1.8638315,24.058208,15.668012,-19.815361,21.242977,-22.319958,8.114965,0.46837467,1.1105115,6.847668,0.84919035
-113.80477,17.682367,-18.280293,34.97277,-5.514364,-20.349148,2.6190038,0.6520681,0.37993574,-1.4399681,1.0907139
-353.07822,3.982076,-12.804993,5.2393994,-18.051308,16.75338,8.520849,15.967625,6.638773,7.258026,0.06202574
-325.17358,-3.25381,-9.439309,10.90576,2.9130192,-17.841143,-4.4515433,-19.84876,7.901441,-5.4884734,0.0007854544
-232.76625,-1.8110647,-32.536015,-14.223771,-7.224047,-11.182184,1.8707645,-3.178731,3.3594863,6.099002,-2.2027535
58.390266,30.450333,-7.430975,14.615685,-8.259703,-20.151678,0.11518468,-48.308815,7.7994366,6.8504944,-10.23204
991.856,-10.468398,23.251322,114.081375,-32.379623,-61.413414,-60.487877,-7.52173,-10.671541,-11.814937,-28.680307
-181.77084,-3.7066772,-7.4676886,-19.000856,8.906567,-16.992586,-1.3392118,2.526437,-5.1625595,-12.440329,0.83309835
-261.0841,-8.684678,-15.240688,-21.6615,-4.421497,27.172945,2.028008,-18.557482,7.386507,3.6541128,0.0009493353
